epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2787,0.48491,1.30632,0.87218,0.99505,0.9697,0.99329,0.89511,0.42284,1.16292,0.82135,0.000657407,0.000657407,0.000657407
2,19.5566,0.46204,0.68222,0.86154,0.9977,1,0.995,0.91492,0.37908,0.72056,0.84927,0.00129786,0.00129786,0.00129786
3,26.7066,0.45296,0.58537,0.86601,0.99702,1,0.995,0.94883,0.34087,0.5896,0.84942,0.00191191,0.00191191,0.00191191
4,33.9209,0.44688,0.54296,0.85638,0.99785,1,0.995,0.98573,0.26702,0.48218,0.81683,0.0018812,0.0018812,0.0018812
5,40.9301,0.41847,0.48857,0.85477,0.99838,1,0.995,0.99201,0.2507,0.37479,0.81808,0.0018416,0.0018416,0.0018416
6,47.9727,0.40712,0.44447,0.84873,0.99792,1,0.995,0.99046,0.24161,0.29951,0.80767,0.001802,0.001802,0.001802
7,55.1243,0.39005,0.41884,0.84887,0.96879,1,0.995,0.995,0.24586,0.30138,0.81041,0.0017624,0.0017624,0.0017624
8,62.159,0.36827,0.38534,0.84489,0.99778,1,0.995,0.995,0.23188,0.27462,0.80695,0.0017228,0.0017228,0.0017228
9,69.2231,0.35544,0.35514,0.84129,0.99714,1,0.995,0.98984,0.20189,0.23081,0.79696,0.0016832,0.0016832,0.0016832
10,76.4357,0.35072,0.351,0.83468,0.99863,1,0.995,0.995,0.18921,0.23257,0.79759,0.0016436,0.0016436,0.0016436
11,83.436,0.34643,0.33369,0.84211,0.9984,1,0.995,0.995,0.20144,0.20082,0.79602,0.001604,0.001604,0.001604
12,90.8238,0.3351,0.31472,0.83302,0.99821,1,0.995,0.98623,0.19274,0.2079,0.79434,0.0015644,0.0015644,0.0015644
13,98.1836,0.34162,0.32503,0.8393,0.98476,1,0.995,0.99175,0.16673,0.19943,0.79144,0.0015248,0.0015248,0.0015248
14,105.348,0.33099,0.30273,0.83377,0.99785,1,0.995,0.995,0.19811,0.19979,0.79473,0.0014852,0.0014852,0.0014852
15,112.449,0.32565,0.29166,0.8474,0.9921,1,0.995,0.9902,0.19607,0.20523,0.79607,0.0014456,0.0014456,0.0014456
16,119.597,0.31393,0.29237,0.83466,0.98706,1,0.995,0.995,0.18909,0.18891,0.79921,0.001406,0.001406,0.001406
17,126.65,0.31358,0.29538,0.83788,0.97012,1,0.995,0.995,0.15948,0.19146,0.78948,0.0013664,0.0013664,0.0013664
18,133.471,0.31163,0.28007,0.83348,0.99832,1,0.995,0.995,0.15615,0.15916,0.78759,0.0013268,0.0013268,0.0013268
19,140.493,0.30674,0.27777,0.83535,0.9984,1,0.995,0.995,0.1423,0.16524,0.78864,0.0012872,0.0012872,0.0012872
20,147.422,0.30053,0.2733,0.83391,0.99835,1,0.995,0.995,0.14801,0.15647,0.7901,0.0012476,0.0012476,0.0012476
21,154.505,0.28783,0.25549,0.82844,0.99836,1,0.995,0.995,0.17026,0.16478,0.79306,0.001208,0.001208,0.001208
22,161.763,0.28212,0.24687,0.8328,0.99689,1,0.995,0.995,0.12299,0.14919,0.78425,0.0011684,0.0011684,0.0011684
23,168.84,0.27882,0.24227,0.8297,0.99803,1,0.995,0.995,0.15,0.16046,0.78779,0.0011288,0.0011288,0.0011288
24,175.583,0.27087,0.2364,0.81854,0.99667,1,0.995,0.995,0.13856,0.14376,0.78431,0.0010892,0.0010892,0.0010892
25,182.332,0.27739,0.23807,0.82848,0.99835,1,0.995,0.995,0.14725,0.13907,0.78703,0.0010496,0.0010496,0.0010496
26,189.352,0.26344,0.22812,0.82839,0.99838,1,0.995,0.995,0.12579,0.14479,0.7842,0.00101,0.00101,0.00101
27,196.293,0.25638,0.22049,0.81946,0.99841,1,0.995,0.995,0.13633,0.14654,0.78469,0.0009704,0.0009704,0.0009704
28,203.266,0.25268,0.21776,0.81759,0.99762,1,0.995,0.995,0.12728,0.1368,0.78378,0.0009308,0.0009308,0.0009308
29,210.352,0.25716,0.21696,0.82425,0.99841,1,0.995,0.995,0.13064,0.13407,0.78522,0.0008912,0.0008912,0.0008912
30,217.024,0.24909,0.2114,0.81897,0.9984,1,0.995,0.995,0.13792,0.13574,0.7864,0.0008516,0.0008516,0.0008516
31,224.203,0.24716,0.21706,0.82595,0.99843,1,0.995,0.995,0.12349,0.12796,0.78441,0.000812,0.000812,0.000812
32,233.083,0.25272,0.2103,0.82336,0.99838,1,0.995,0.995,0.11827,0.13391,0.78248,0.0007724,0.0007724,0.0007724
33,240.668,0.24834,0.2074,0.81862,0.9982,1,0.995,0.995,0.13301,0.13044,0.78476,0.0007328,0.0007328,0.0007328
34,248.01,0.23916,0.20409,0.82611,0.99844,1,0.995,0.995,0.12502,0.1286,0.78304,0.0006932,0.0006932,0.0006932
35,254.813,0.24235,0.20212,0.81589,0.99841,1,0.995,0.995,0.11347,0.11799,0.78195,0.0006536,0.0006536,0.0006536
36,261.768,0.24033,0.19664,0.82785,0.99845,1,0.995,0.995,0.11708,0.12034,0.7825,0.000614,0.000614,0.000614
37,268.686,0.22551,0.19148,0.82448,0.99841,1,0.995,0.995,0.11361,0.10849,0.7811,0.0005744,0.0005744,0.0005744
38,275.364,0.2312,0.19445,0.82149,0.9984,1,0.995,0.995,0.13658,0.13615,0.78457,0.0005348,0.0005348,0.0005348
39,282.261,0.22152,0.19094,0.81766,0.99843,1,0.995,0.995,0.11446,0.12127,0.78243,0.0004952,0.0004952,0.0004952
40,289.324,0.21371,0.17993,0.81461,0.99844,1,0.995,0.995,0.1052,0.12311,0.78123,0.0004556,0.0004556,0.0004556
41,313.471,0.16469,0.15368,0.78821,0.99842,1,0.995,0.995,0.11968,0.11406,0.78149,0.000416,0.000416,0.000416
42,324.86,0.16379,0.15449,0.79527,0.99843,1,0.995,0.995,0.10564,0.12787,0.78562,0.0003764,0.0003764,0.0003764
43,332.329,0.15987,0.15452,0.78921,0.99841,1,0.995,0.995,0.10361,0.13037,0.7815,0.0003368,0.0003368,0.0003368
44,340.268,0.14962,0.14419,0.79184,0.99845,1,0.995,0.995,0.08837,0.11443,0.77898,0.0002972,0.0002972,0.0002972
45,348.118,0.14921,0.14209,0.78431,0.99844,1,0.995,0.995,0.09284,0.11352,0.77843,0.0002576,0.0002576,0.0002576
46,356.859,0.14357,0.13463,0.78558,0.99843,1,0.995,0.995,0.09279,0.09977,0.7784,0.000218,0.000218,0.000218
47,364.246,0.14361,0.13339,0.77957,0.99838,1,0.995,0.995,0.09143,0.08868,0.77827,0.0001784,0.0001784,0.0001784
48,371.528,0.1404,0.13128,0.78155,0.99836,1,0.995,0.995,0.09166,0.09566,0.77786,0.0001388,0.0001388,0.0001388
