epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.2985,1.59644,2.57097,1.8174,0.62262,0.33235,0.38887,0.21395,1.64329,2.29751,1.89245,0.000659341,0.000659341,0.000659341
2,23.6426,1.22471,1.38842,1.42073,0.22278,0.36331,0.22831,0.10461,2.31897,3.07237,3.1904,0.00129975,0.00129975,0.00129975
3,33.5579,1.1761,1.16424,1.37342,0.79082,0.72662,0.80972,0.54473,1.19449,1.36359,1.58108,0.00191376,0.00191376,0.00191376
4,44.1474,1.18621,1.13876,1.38403,0.64857,0.73381,0.76379,0.55638,1.12823,1.36289,1.48247,0.0018812,0.0018812,0.0018812
5,59.1843,1.10944,1.06065,1.34613,0.9241,0.83208,0.93639,0.69152,0.97414,0.94537,1.36129,0.0018416,0.0018416,0.0018416
6,70.0716,1.07056,0.92834,1.26962,0.77177,0.7055,0.78139,0.54196,1.09743,1.29561,1.38322,0.001802,0.001802,0.001802
7,80.6985,1.05583,0.90686,1.26915,0.91427,0.92062,0.952,0.717,0.90914,0.79776,1.28073,0.0017624,0.0017624,0.0017624
8,90.7092,1.03661,0.84965,1.27113,0.96787,0.86682,0.94699,0.73078,0.92495,0.79693,1.28536,0.0017228,0.0017228,0.0017228
9,100.948,1.01529,0.83523,1.24695,0.94786,0.92086,0.96986,0.7542,0.8235,0.76641,1.16686,0.0016832,0.0016832,0.0016832
10,110.829,1.00212,0.77957,1.23217,0.95494,0.91007,0.96376,0.76271,0.84726,0.68971,1.20187,0.0016436,0.0016436,0.0016436
11,120.954,0.99455,0.76653,1.22141,0.9135,0.87376,0.93622,0.72261,0.85605,0.78615,1.18674,0.001604,0.001604,0.001604
12,131.033,0.94746,0.71223,1.18454,0.963,0.93624,0.97512,0.76852,0.82519,0.65744,1.1788,0.0015644,0.0015644,0.0015644
13,141.186,0.97781,0.75076,1.21334,0.98873,0.94673,0.97897,0.79406,0.76444,0.5584,1.12191,0.0015248,0.0015248,0.0015248
14,151.513,0.93773,0.70848,1.18896,0.98183,0.93525,0.98119,0.79152,0.77394,0.56725,1.14562,0.0014852,0.0014852,0.0014852
15,161.847,0.96849,0.69175,1.20668,0.97636,0.95683,0.98395,0.80013,0.76342,0.56855,1.10852,0.0014456,0.0014456,0.0014456
16,171.569,0.92611,0.68826,1.18586,0.97027,0.93908,0.97011,0.79789,0.76004,0.61352,1.12488,0.001406,0.001406,0.001406
17,181.908,0.90179,0.6547,1.16271,0.98453,0.96043,0.99145,0.79112,0.76913,0.55652,1.10139,0.0013664,0.0013664,0.0013664
18,192.177,0.93686,0.68964,1.16588,0.97492,0.97873,0.99141,0.80814,0.74697,0.53596,1.10005,0.0013268,0.0013268,0.0013268
19,202.041,0.93942,0.65918,1.18207,0.94664,0.95719,0.98047,0.78941,0.76159,0.58829,1.11739,0.0012872,0.0012872,0.0012872
