epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,212.065,0.9004,0.61927,1.15498,0.96175,0.94964,0.97793,0.81706,0.70582,0.52105,1.04719,0.0012476,0.0012476,0.0012476
21,222.503,0.90935,0.62615,1.15404,0.99256,0.95993,0.99053,0.81466,0.72637,0.48249,1.0686,0.001208,0.001208,0.001208
22,232.478,0.89242,0.61468,1.14416,0.97459,0.96594,0.99085,0.81509,0.71462,0.47697,1.04598,0.0011684,0.0011684,0.0011684
23,242.414,0.8796,0.61397,1.1421,0.99563,0.97842,0.99239,0.81014,0.71643,0.44866,1.05165,0.0011288,0.0011288,0.0011288
24,252.355,0.88975,0.60647,1.15343,0.97877,0.96043,0.99192,0.81125,0.71459,0.46557,1.06008,0.0010892,0.0010892,0.0010892
25,262.763,0.89547,0.62282,1.15742,0.97729,0.97842,0.99234,0.82829,0.68968,0.43506,1.05169,0.0010496,0.0010496,0.0010496
26,272.853,0.88332,0.58767,1.14514,0.9854,0.97095,0.99376,0.83534,0.6673,0.43285,1.02407,0.00101,0.00101,0.00101
27,282.997,0.85025,0.57129,1.13257,0.98566,0.98934,0.99478,0.83861,0.66022,0.39904,1.03152,0.0009704,0.0009704,0.0009704
28,292.819,0.87051,0.55418,1.13133,0.9753,0.99418,0.9945,0.84288,0.66606,0.41157,1.01766,0.0009308,0.0009308,0.0009308
29,302.913,0.84456,0.54557,1.11863,0.9856,0.98472,0.99439,0.84216,0.65228,0.40832,1.01497,0.0008912,0.0008912,0.0008912
30,312.824,0.83703,0.53952,1.11167,0.97819,0.96781,0.99194,0.8385,0.64849,0.42245,1.00398,0.0008516,0.0008516,0.0008516
31,322.654,0.85841,0.53241,1.12753,0.98582,0.96763,0.99383,0.84611,0.63381,0.391,0.99886,0.000812,0.000812,0.000812
32,332.934,0.81527,0.51883,1.10127,0.98189,0.97534,0.99364,0.83965,0.63825,0.39021,1.00441,0.0007724,0.0007724,0.0007724
33,343.344,0.83135,0.50333,1.10299,0.97883,0.98561,0.99457,0.84504,0.63943,0.37992,0.9986,0.0007328,0.0007328,0.0007328
34,353.581,0.83189,0.52744,1.10466,0.99276,0.987,0.99479,0.85101,0.60925,0.36537,0.98156,0.0006932,0.0006932,0.0006932
35,364.176,0.82318,0.51765,1.10133,0.99254,0.95768,0.99015,0.84394,0.62959,0.39608,1.0023,0.0006536,0.0006536,0.0006536
36,374.345,0.81352,0.50207,1.10013,0.98496,0.98921,0.99448,0.84976,0.61288,0.35011,0.98985,0.000614,0.000614,0.000614
37,384.411,0.79542,0.49515,1.08674,0.99542,0.97482,0.99457,0.84733,0.64315,0.36446,1.01009,0.0005744,0.0005744,0.0005744
38,394.119,0.8189,0.50122,1.08993,0.9909,0.97842,0.99436,0.84552,0.62674,0.35837,1.00524,0.0005348,0.0005348,0.0005348
39,403.866,0.7918,0.48472,1.08189,1,0.97807,0.99424,0.85646,0.60964,0.34621,0.97375,0.0004952,0.0004952,0.0004952
40,413.797,0.78833,0.46082,1.08282,0.99777,0.98561,0.99489,0.86648,0.60679,0.33311,0.9769,0.0004556,0.0004556,0.0004556
41,460.825,0.68319,0.38056,1.03964,0.99283,0.99597,0.99482,0.85792,0.61166,0.33649,0.97419,0.000416,0.000416,0.000416
42,470.819,0.66625,0.36314,1.0305,0.98924,0.99221,0.99486,0.86352,0.61758,0.33471,0.98252,0.0003764,0.0003764,0.0003764
43,480.636,0.6754,0.3819,1.02132,0.98924,0.99174,0.99482,0.86881,0.60992,0.33743,0.97486,0.0003368,0.0003368,0.0003368
44,490.451,0.65383,0.34377,0.99796,0.99637,0.98857,0.99486,0.86989,0.59734,0.31352,0.95992,0.0002972,0.0002972,0.0002972
45,500.24,0.64299,0.33697,1.00423,0.99851,0.9964,0.995,0.87565,0.58373,0.30848,0.95008,0.0002576,0.0002576,0.0002576
46,510.496,0.64415,0.32754,1.00126,1,0.99217,0.995,0.87619,0.58687,0.31052,0.95019,0.000218,0.000218,0.000218
47,520.576,0.63257,0.32339,0.99677,1,0.99274,0.995,0.88279,0.56153,0.29741,0.93862,0.0001784,0.0001784,0.0001784
48,530.479,0.62031,0.32742,0.99006,0.99606,0.9964,0.995,0.87707,0.57106,0.29054,0.94659,0.0001388,0.0001388,0.0001388
49,540.175,0.62159,0.31144,0.98213,0.99884,0.9964,0.995,0.88133,0.56312,0.29162,0.94162,9.92e-05,9.92e-05,9.92e-05
50,549.885,0.60063,0.3061,0.98021,0.99962,0.9964,0.995,0.88373,0.55801,0.2859,0.93861,5.96e-05,5.96e-05,5.96e-05
