epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4444,1.11444,2.0461,1.22103,0.7002,0.6721,0.73226,0.51641,1.06664,1.68491,1.33896,0.000659341,0.000659341,0.000659341
2,25.7375,1.15798,1.59838,1.20943,0.59724,0.52807,0.57356,0.36278,1.30145,2.75977,1.67373,0.00129975,0.00129975,0.00129975
3,36.7161,1.15418,1.40884,1.21931,0.59435,0.61871,0.58621,0.29596,1.3938,2.30496,1.61117,0.00191376,0.00191376,0.00191376
4,47.3388,1.17477,1.31623,1.23362,0.92699,0.82206,0.92599,0.68871,0.96173,1.08544,1.24333,0.0018812,0.0018812,0.0018812
5,59.0584,1.12792,1.14623,1.19085,0.94396,0.84826,0.95398,0.72209,0.93253,0.89275,1.22112,0.0018416,0.0018416,0.0018416
6,69.4311,1.0798,1.04801,1.17068,0.89549,0.84532,0.92543,0.70378,0.92464,0.87484,1.16567,0.001802,0.001802,0.001802
7,79.8366,1.07609,0.98824,1.15846,0.93831,0.93012,0.97084,0.73747,0.93503,0.74685,1.17716,0.0017624,0.0017624,0.0017624
8,90.5834,1.08365,0.94559,1.16785,0.93998,0.84506,0.94943,0.7363,0.85471,0.72847,1.13067,0.0017228,0.0017228,0.0017228
9,101.545,0.9987,0.8615,1.11765,0.93825,0.87451,0.9557,0.748,0.82734,0.65005,1.10528,0.0016832,0.0016832,0.0016832
10,112.185,1.02012,0.84496,1.12479,0.9534,0.95324,0.98111,0.76595,0.85489,0.65876,1.11748,0.0016436,0.0016436,0.0016436
11,122.941,1.03702,0.82992,1.13452,0.9651,0.91007,0.95618,0.71234,0.99658,0.65997,1.19192,0.001604,0.001604,0.001604
12,133.47,0.97396,0.78808,1.10712,0.97705,0.94245,0.98559,0.76588,0.80993,0.59089,1.07881,0.0015644,0.0015644,0.0015644
13,143.557,0.96903,0.77777,1.099,0.93692,0.93165,0.96454,0.76446,0.7981,0.56532,1.07398,0.0015248,0.0015248,0.0015248
14,154.03,0.96372,0.75702,1.09958,0.98137,0.94761,0.98893,0.78753,0.79398,0.52309,1.06539,0.0014852,0.0014852,0.0014852
15,164.499,0.97519,0.71927,1.10427,0.97973,0.96403,0.99144,0.80375,0.76742,0.57355,1.05275,0.0014456,0.0014456,0.0014456
16,174.737,0.92924,0.69197,1.09069,0.96602,0.96043,0.98209,0.76802,0.79317,0.51775,1.0741,0.001406,0.001406,0.001406
17,185.367,0.93719,0.67032,1.09339,0.92326,0.95206,0.97022,0.77218,0.76398,0.54487,1.0513,0.0013664,0.0013664,0.0013664
18,195.813,0.95302,0.69324,1.086,0.98906,0.97553,0.99383,0.79438,0.75292,0.43061,1.05445,0.0013268,0.0013268,0.0013268
19,205.84,0.93458,0.66188,1.08757,0.98886,0.9575,0.99018,0.80419,0.71807,0.45669,1.01456,0.0012872,0.0012872,0.0012872
20,216.011,0.89258,0.63802,1.07329,0.96802,0.97994,0.99351,0.81924,0.70303,0.46143,0.99637,0.0012476,0.0012476,0.0012476
21,226.591,0.91144,0.63587,1.07615,0.98034,0.97122,0.9939,0.80695,0.737,0.44207,1.0331,0.001208,0.001208,0.001208
22,237.064,0.90489,0.63369,1.06667,0.98393,0.96043,0.98177,0.81506,0.71704,0.45692,1.01593,0.0011684,0.0011684,0.0011684
23,247.152,0.88247,0.6172,1.06052,0.97999,0.97122,0.99106,0.8184,0.70221,0.40917,1.00366,0.0011288,0.0011288,0.0011288
24,257.423,0.88421,0.5973,1.05977,0.98912,0.98126,0.99394,0.83626,0.64389,0.37803,0.96959,0.0010892,0.0010892,0.0010892
25,267.575,0.89453,0.62706,1.07323,0.98192,0.97681,0.98891,0.8365,0.65028,0.40247,0.96774,0.0010496,0.0010496,0.0010496
26,277.897,0.88124,0.59516,1.06171,0.99326,0.97842,0.99461,0.83915,0.66514,0.37391,0.98683,0.00101,0.00101,0.00101
27,288.841,0.86151,0.5628,1.06034,0.97476,0.97228,0.99365,0.82779,0.71424,0.40456,1.01252,0.0009704,0.0009704,0.0009704
28,299.462,0.86754,0.55951,1.04902,1,0.99549,0.995,0.83721,0.65415,0.41996,0.97402,0.0009308,0.0009308,0.0009308
29,309.924,0.85716,0.56935,1.03862,0.99282,0.99523,0.99496,0.8453,0.64376,0.34797,0.96361,0.0008912,0.0008912,0.0008912
30,320.93,0.84339,0.56396,1.0397,0.9885,0.9964,0.995,0.8518,0.63077,0.34794,0.95345,0.0008516,0.0008516,0.0008516
31,331.105,0.85229,0.54965,1.03955,0.98466,0.99281,0.99453,0.84088,0.67044,0.35019,0.96513,0.000812,0.000812,0.000812
32,341.512,0.834,0.52559,1.04065,0.98564,0.98752,0.99431,0.8496,0.62475,0.33722,0.94985,0.0007724,0.0007724,0.0007724
33,351.936,0.83035,0.51014,1.02345,0.98862,0.9964,0.99493,0.8447,0.64948,0.33484,0.962,0.0007328,0.0007328,0.0007328
34,362.345,0.83162,0.53757,1.03458,0.99756,0.99281,0.995,0.84784,0.6109,0.34304,0.94718,0.0006932,0.0006932,0.0006932
35,372.776,0.80922,0.516,1.02631,0.99121,1,0.99482,0.85018,0.61706,0.3106,0.94436,0.0006536,0.0006536,0.0006536
36,382.854,0.82229,0.50614,1.0273,0.99808,0.9964,0.995,0.85676,0.61128,0.32185,0.94186,0.000614,0.000614,0.000614
37,393.097,0.80907,0.51733,1.03136,0.99462,1,0.99493,0.85631,0.61038,0.3183,0.94602,0.0005744,0.0005744,0.0005744
38,403.595,0.81206,0.51022,1.02458,0.99867,1,0.995,0.84614,0.62471,0.31502,0.95151,0.0005348,0.0005348,0.0005348
39,413.86,0.7934,0.47718,1.01398,0.99999,1,0.995,0.85132,0.61069,0.30733,0.93303,0.0004952,0.0004952,0.0004952
40,424.335,0.78902,0.46762,1.01181,0.99879,1,0.995,0.86044,0.59917,0.29652,0.92917,0.0004556,0.0004556,0.0004556
41,470.218,0.6842,0.37618,0.96819,0.99898,1,0.995,0.85678,0.61281,0.3025,0.93919,0.000416,0.000416,0.000416
42,480.265,0.67627,0.35469,0.96001,0.99411,0.99281,0.99496,0.85424,0.60409,0.29577,0.93663,0.0003764,0.0003764,0.0003764
43,490.749,0.69166,0.39171,0.97259,0.99463,0.9964,0.99482,0.86293,0.59895,0.2972,0.92906,0.0003368,0.0003368,0.0003368
44,500.906,0.65713,0.34371,0.93617,0.99964,1,0.995,0.86511,0.59189,0.28818,0.93124,0.0002972,0.0002972,0.0002972
45,511.144,0.6447,0.33137,0.93672,0.99887,1,0.995,0.86649,0.59031,0.29038,0.92692,0.0002576,0.0002576,0.0002576
46,521.362,0.65363,0.3221,0.94418,0.9958,1,0.995,0.8652,0.59063,0.28544,0.92708,0.000218,0.000218,0.000218
